t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
       0 ;       0 ;      E ;        900 ;      ? ; entrada
     201 ;       1 ;      S ;        100 ;      ? ; entrada
     201 ;       2 ;      E ;       1000 ;      ? ; entrada
     301 ;       3 ;      N ;        100 ;      ? ; entrada
     301 ;       1 ;      S ;        100 ;    100 ; saida
     402 ;       3 ;      N ;        100 ;    101 ; saida
     402 ;       4 ;      E ;        800 ;      ? ; entrada
     402 ;       5 ;      S ;        500 ;      ? ; entrada
     602 ;       6 ;      S ;        300 ;      ? ; entrada
     602 ;       7 ;      N ;        200 ;      ? ; cheio!
     602 ;       8 ;      E ;        400 ;      ? ; cheio!
     602 ;       9 ;      E ;        500 ;      ? ; cheio!
     702 ;      11 ;      S ;        200 ;      ? ; cheio!
     702 ;      10 ;      E ;        500 ;      ? ; cheio!
     803 ;      12 ;      S ;        200 ;      ? ; cheio!
     901 ;       0 ;      E ;        900 ;    901 ; saida
     902 ;       5 ;      S ;        500 ;    501 ; saida
     902 ;       6 ;      S ;        300 ;    300 ; saida
     903 ;      13 ;      S ;        500 ;      ? ; entrada
     903 ;      14 ;      N ;        100 ;      ? ; entrada
    1003 ;      14 ;      N ;        100 ;    100 ; saida
    1103 ;      15 ;      S ;        600 ;      ? ; entrada
    1201 ;       2 ;      E ;       1000 ;   1000 ; saida
    1202 ;       4 ;      E ;        800 ;    801 ; saida
    1304 ;      16 ;      S ;        900 ;      ? ; entrada
    1403 ;      13 ;      S ;        500 ;    500 ; saida
    1504 ;      17 ;      S ;        300 ;      ? ; entrada
    1504 ;      18 ;      E ;        400 ;      ? ; entrada
    1605 ;      19 ;      E ;        800 ;      ? ; entrada
    1605 ;      20 ;      E ;        300 ;      ? ; cheio!
    1605 ;      21 ;      N ;        300 ;      ? ; cheio!
    1704 ;      15 ;      S ;        600 ;    601 ; saida
    1705 ;      22 ;      S ;        900 ;      ? ; encerrado!
    1804 ;      17 ;      S ;        300 ;    300 ; saida
    1905 ;      18 ;      E ;        400 ;    401 ; saida
    1905 ;      23 ;      S ;        700 ;      ? ; encerrado!
    2005 ;      24 ;      E ;        200 ;      ? ; encerrado!
    2204 ;      16 ;      S ;        900 ;    900 ; saida
    2405 ;      19 ;      E ;        800 ;    801 ; saida
