t(ticks) ; nlug ; id_viat ; observ
     466 ;    1 ;       0 ; estacionamento
     466 ;    2 ;       1 ; estacionamento
     567 ;    3 ;       3 ; estacionamento
     567 ;    4 ;       2 ; estacionamento
     667 ;    5 ;       4 ; estacionamento
     768 ;    5 ;       5 ; cheio
     968 ;    4 ;       4 ; saida
     968 ;    5 ;       6 ; estacionamento
    1068 ;    5 ;       7 ; encerrado
    1068 ;    5 ;       8 ; encerrado
    1168 ;    4 ;       2 ; saida
    1168 ;    4 ;      10 ; encerrado
    1168 ;    4 ;       9 ; encerrado
    1268 ;    4 ;      11 ; encerrado
    1367 ;    3 ;       3 ; saida
    1467 ;    2 ;       0 ; saida
    1467 ;    1 ;       1 ; saida
    1469 ;    1 ;      12 ; encerrado
    1569 ;    1 ;      13 ; encerrado
    1770 ;    1 ;      14 ; encerrado
    1868 ;    0 ;       6 ; saida
